,id,parentId
478,apex of arytenoid cartilage,zone of arytenoid cartilage
479,trunk of left medial plantar nerve,trunk of medial plantar nerve
480,extraprostatic part of ejaculatory duct,region of ejaculatory duct
481,sphenoethmoidal synchondrosis,synchondrosis of skull
482,right splenius capitis,splenius capitis
483,glottis,subdivision of larynx
484,dorsal nail matrix of left second toe,dorsal nail matrix of second toe
485,medial branch of second thoracic ganglion,medial branch of thoracic ganglion
486,neuronal component of T6 segment,neuronal component of thoracic subsegment of spinal cord
487,craniocaudal projection,radiographic projection
488,mucosa of region of uterine tube,region of mucosa
489,t1 dorsal column nucleus of right ulnar nerve,t1 dorsal column nucleus of ulnar nerve
490,trunk of posterior pulmonary nerve plexus,trunk of pulmonary nerve plexus
491,posterior pararenal space,region of retroperitoneal space
492,embryonal neuroepithelial neoplasm,neuroepitheliomatous neoplasm
493,medial zone of superior part of body of left scapula,medial zone of superior part of body of scapula
494,parenchyma of inferior renal segment,parenchyma of renal segment
495,dorsal branch of right first lumbar artery,dorsal branch of first lumbar artery
496,RID29045,Obsolete Radlex Term
497,oxidant gas inhalation,toxic gas inhalation
498,biceps femoris branch of common fibular nerve,branch of common peroneal nerve
499,posterior root of right coccygeal nerve,posterior root of coccygeal nerve
500,t1 ventral column nucleus of right median nerve,t1 ventral column nucleus of median nerve
501,l2 posterior division of left lumbar plexus,l2 posterior division of lumbar plexus
502,phyllodes tumor,fibroepithelial neoplasm
503,RID7460,Obsolete Radlex Term
504,neuronal component of C4 segment,neuronal component of cervical subsegment of spinal cord
505,upper branch of internal laryngeal nerve to mucosa of pharynx,upper branch of internal laryngeal nerve
506,left first posterior cervical intertransversarius,first posterior cervical intertransversarius
507,c7 branch to right splenius capitis,c7 branch to splenius capitis
508,pseudolesion,enhancement
509,lateral cutaneous branch of first intercostal nerve,lateral cutaneous branch of intercostal nerve
510,trunk of anterior branch of left medial femoral cutaneous nerve,trunk of anterior branch of medial femoral cutaneous nerve
511,gastric resection,stomach surgery
512,trunk of right lateral thoracic artery,trunk of lateral thoracic artery
513,external pyramidal layer of left Brodmann area 17,external pyramidal layer of Brodmann area 17
514,biopsy instrument,medical device
515,lateral pectoral nerve component of trunk of anterior ramus of left seventh cervical nerve,lateral pectoral nerve component of trunk of anterior ramus of seventh cervical nerve
516,infrapatellar pad region of apical part of left patella,infrapatellar pad region of apical part of patella
517,parietal vein,superior cerebral vein
518,distal tendon of clavicular part of deltoid,distal tendon of region of deltoid
519,ascending branch of meningeal branch of third sacral nerve,ascending branch of meningeal branch of sacral nerve
520,trochlea of talus,trochlea of bone
521,t5 segment of nucleus proprius of spinal cord,thoracic subsegment of nucleus proprius of spinal cord
522,gray communicating ramus of left fourth intercostal nerve,gray communicating ramus of fourth intercostal nerve
523,medial proper palmar digital branch of median nerve to index finger,second proper palmar digital nerve
524,superior mental spine of mandible,zone of body of mandible
525,superior segment of left corona radiata,superior segment of corona radiata
526,brodmann area 10 of left medial frontal gyrus,brodmann area 10 of medial frontal gyrus
527,right portal scissura,portal scissura
528,left lateral superior olivary nucleus,lateral superior olivary nucleus
529,perirenal fat,loose endoabdominal fascia
530,left palmar metacarpal vein,palmar metacarpal vein
531,lateral surface of cervical part of esophagus,region of external surface of cervical part of esophagus
532,nerve to left sternohyoid,nerve to sternohyoid
533,white matter of superior temporal gyrus,white matter of gyrus of temporal lobe
534,nerve to fourth palmar interosseous of hand,branch of deep branch of ulnar nerve
535,anterior surface of cecum,anterior surface of segment of large intestine
536,left inferior hypophyseal artery,inferior hypophyseal artery
537,lateral surface of scalenus anterior,region of surface of scalenus anterior
538,RID4986,Obsolete Radlex Term
539,segment of medullary reticular formation,segment of medulla oblongata
540,lateral pectoral nerve nucleus of ventral column,lateral pectoral nerve nucleus of spinal cord
541,right gastroepiploic vein,tributary of superior mesenteric vein
542,branch of tenth intercostal nerve to internal oblique,muscular branch of tenth intercostal nerve
543,Oxilan,ioxilan
544,pedicle of axis,pedicle of cervical vertebra
545,left colic lymph node group proper,colic lymph node group
546,buccal branch of left facial nerve,buccal branch of facial nerve
547,conjunctival ring of cornea,zone of continuity
548,right rubrospinal tract,rubrospinal tract
549,transpulmonary blood pool microbubbles,microbubble transpulmonary characteristics
550,anterior meningeal branch of anterior ethmoidal artery,branch of anterior ethmoidal artery
551,axillary nerve component of trunk of sixth cervical nerve,segment of C6 root of axillary nerve
552,fibromuscular part of zone of prostate,region of organ component
553,left ventral external arcuate tract,ventral external arcuate tract
554,Ultravist-240,Ultravist
555,fragmentation,degeneration
556,head of left dorsal gray column of spinal cord,head of dorsal gray column of spinal cord
557,lobule IX of left hemisphere of cerebellum,lobule IX of hemisphere of cerebellum
558,polar part of lateral occipital gyrus,segment of lateral occipital gyrus
559,white matter of left lateral orbital gyrus,white matter of lateral orbital gyrus
560,right intercalated amygdaloid nucleus,intercalated amygdaloid nucleus
561,cavernous branch of right internal carotid artery to right trigeminal ganglion,cavernous branch of internal carotid artery to trigeminal ganglion
562,posterior surface of pyloric antrum,posterior surface of stomach
563,"lateral occipital cortex, superior division (Ols)",caviness neocortex parcellation unit
564,bursa of elbow,synovial bursa
565,flat,morphologic descriptor
566,layer of retina,organ component layer
567,c2 branch to right splenius cervicis,c2 branch to splenius cervicis
568,tendon of abductor pollicis brevis,tendon
569,trunk of penile root branch of ilioinguinal nerve,trunk of branch of ilioinguinal nerve
570,hereditary,genetic
571,depressor labii muscle,external muscle of mouth
572,segment of intermediate hypothalamic region,segment of hypothalamus
573,distal zone of teres minor,distal zone of muscle organ
574,surface of region of neck of scapula,surface of region of scapula
575,lateral cutaneous branch of medial branch of posterior ramus of left fifth thoracic nerve,lateral cutaneous branch of medial branch of posterior ramus of fifth thoracic nerve
576,fibrous plaque,atherosclerotic plaque
577,extensor digitorum longus,muscle of anterior compartment of leg
578,temporal branch of facial nerve,branch of facial nerve
579,gray matter of medial frontal gyrus,gray matter of gyrus of frontal lobe
580,left second lumbar ganglion,second lumbar ganglion
581,prelaminar branch of spinal branch of third lumbar artery,prelaminar branch of spinal branch of lumbar artery
582,t2 segment of left dorsal funiculus of spinal cord,t2 segment of dorsal funiculus of spinal cord
583,lingual branch of hypoglossal nerve,muscular branch of hypoglossal nerve
584,internal pyramidal lamina of left Brodmann area 51,internal pyramidal lamina of Brodmann area 51
585,inferior anterior division segment of ulnar nerve,segment of root of ulnar nerve
586,Achilles tendon,tendon of foot or ankle
587,trapezoid body,segment of white matter of neuraxis
588,percutaneous transhepatic biliary drainage,drainage
589,tributary of ileocolic vein,tributary of superior mesenteric vein
590,vaginal fascia,zone of pelvic fascia
591,obturator sign,imaging sign
592,intraventricular,anatomically-related descriptor
593,l4 root of right obturator nerve,l4 root of obturator nerve
594,condylomata acuminata,wart
595,scalenus medius branch of left fifth cervical nerve,scalenus medius branch of fifth cervical nerve
596,nucleus of origin of twelfth thoracic spinal nerve,nucleus of origin of thoracic spinal nerve
597,lateral root of right median nerve,lateral root of median nerve
598,gadopentetate dimeglumine,ionic linear gadolinium chelate
599,right dorsal acoustic stria,dorsal acoustic stria
600,postganglionic segment of posterior root of right sixth cervical spinal nerve,postganglionic segment of posterior root of sixth cervical spinal nerve
601,I-125 iothalamate,radiopharmaceutical
602,brodmann area 11 of right straight gyrus,brodmann area 11 of straight gyrus
603,gray matter of coccygeal segment of spinal cord,gray matter of subsegment of spinal cord
604,middle posterior division segment of C7 root of right thoracodorsal nerve,middle posterior division segment of C7 root of thoracodorsal nerve
605,double contour sign,imaging sign
606,subdivision of bony labyrinth,zone of petrous part of temporal bone
607,scrotal branch of ilioinguinal nerve,branch of ilioinguinal nerve
608,urine leak,leak
609,RID28965,RID28839
610,brodmann area 21 of right superior temporal gyrus,brodmann area 21 of superior temporal gyrus
611,vasculature of quadrate lobe of liver,vasculature of lobe of liver
612,tube potential,radiography procedure attribute
613,conjunctival branch of supratrochlear nerve,branch of supratrochlear nerve
614,adventitia of right ureter proper,adventitia of ureter proper
615,t6 segment of right dorsal funiculus of spinal cord,t6 segment of dorsal funiculus of spinal cord
