id,parentId
external pyramidal layer of left Brodmann area 17,external pyramidal layer of Brodmann area 17
biopsy instrument,medical device
lateral pectoral nerve component of trunk of anterior ramus of left seventh cervical nerve,lateral pectoral nerve component of trunk of anterior ramus of seventh cervical nerve
infrapatellar pad region of apical part of left patella,infrapatellar pad region of apical part of patella
parietal vein,superior cerebral vein
distal tendon of clavicular part of deltoid,distal tendon of region of deltoid
ascending branch of meningeal branch of third sacral nerve,ascending branch of meningeal branch of sacral nerve
trochlea of talus,trochlea of bone
t5 segment of nucleus proprius of spinal cord,thoracic subsegment of nucleus proprius of spinal cord
gray communicating ramus of left fourth intercostal nerve,gray communicating ramus of fourth intercostal nerve
medial proper palmar digital branch of median nerve to index finger,second proper palmar digital nerve
superior mental spine of mandible,zone of body of mandible
superior segment of left corona radiata,superior segment of corona radiata
brodmann area 10 of left medial frontal gyrus,brodmann area 10 of medial frontal gyrus
right portal scissura,portal scissura
left lateral superior olivary nucleus,lateral superior olivary nucleus
perirenal fat,loose endoabdominal fascia
left palmar metacarpal vein,palmar metacarpal vein
lateral surface of cervical part of esophagus,region of external surface of cervical part of esophagus
nerve to left sternohyoid,nerve to sternohyoid
white matter of superior temporal gyrus,white matter of gyrus of temporal lobe
nerve to fourth palmar interosseous of hand,branch of deep branch of ulnar nerve
anterior surface of cecum,anterior surface of segment of large intestine
left inferior hypophyseal artery,inferior hypophyseal artery
lateral surface of scalenus anterior,region of surface of scalenus anterior
RID4986,Obsolete Radlex Term
segment of medullary reticular formation,segment of medulla oblongata
lateral pectoral nerve nucleus of ventral column,lateral pectoral nerve nucleus of spinal cord
right gastroepiploic vein,tributary of superior mesenteric vein
branch of tenth intercostal nerve to internal oblique,muscular branch of tenth intercostal nerve
Oxilan,ioxilan
pedicle of axis,pedicle of cervical vertebra
left colic lymph node group proper,colic lymph node group
buccal branch of left facial nerve,buccal branch of facial nerve
conjunctival ring of cornea,zone of continuity
right rubrospinal tract,rubrospinal tract
transpulmonary blood pool microbubbles,microbubble transpulmonary characteristics
anterior meningeal branch of anterior ethmoidal artery,branch of anterior ethmoidal artery
axillary nerve component of trunk of sixth cervical nerve,segment of C6 root of axillary nerve
fibromuscular part of zone of prostate,region of organ component
left ventral external arcuate tract,ventral external arcuate tract
Ultravist-240,Ultravist
fragmentation,degeneration
head of left dorsal gray column of spinal cord,head of dorsal gray column of spinal cord
lobule IX of left hemisphere of cerebellum,lobule IX of hemisphere of cerebellum
polar part of lateral occipital gyrus,segment of lateral occipital gyrus
white matter of left lateral orbital gyrus,white matter of lateral orbital gyrus
right intercalated amygdaloid nucleus,intercalated amygdaloid nucleus
cavernous branch of right internal carotid artery to right trigeminal ganglion,cavernous branch of internal carotid artery to trigeminal ganglion
posterior surface of pyloric antrum,posterior surface of stomach
"lateral occipital cortex, superior division (Ols)",caviness neocortex parcellation unit
bursa of elbow,synovial bursa
flat,morphologic descriptor
layer of retina,organ component layer
c2 branch to right splenius cervicis,c2 branch to splenius cervicis
tendon of abductor pollicis brevis,tendon
trunk of penile root branch of ilioinguinal nerve,trunk of branch of ilioinguinal nerve
hereditary,genetic
depressor labii muscle,external muscle of mouth
segment of intermediate hypothalamic region,segment of hypothalamus
distal zone of teres minor,distal zone of muscle organ
surface of region of neck of scapula,surface of region of scapula
lateral cutaneous branch of medial branch of posterior ramus of left fifth thoracic nerve,lateral cutaneous branch of medial branch of posterior ramus of fifth thoracic nerve
fibrous plaque,atherosclerotic plaque
extensor digitorum longus,muscle of anterior compartment of leg
temporal branch of facial nerve,branch of facial nerve
gray matter of medial frontal gyrus,gray matter of gyrus of frontal lobe
left second lumbar ganglion,second lumbar ganglion
prelaminar branch of spinal branch of third lumbar artery,prelaminar branch of spinal branch of lumbar artery
t2 segment of left dorsal funiculus of spinal cord,t2 segment of dorsal funiculus of spinal cord
lingual branch of hypoglossal nerve,muscular branch of hypoglossal nerve
internal pyramidal lamina of left Brodmann area 51,internal pyramidal lamina of Brodmann area 51
inferior anterior division segment of ulnar nerve,segment of root of ulnar nerve
Achilles tendon,tendon of foot or ankle
trapezoid body,segment of white matter of neuraxis
percutaneous transhepatic biliary drainage,drainage
tributary of ileocolic vein,tributary of superior mesenteric vein
vaginal fascia,zone of pelvic fascia
obturator sign,imaging sign
intraventricular,anatomically-related descriptor
l4 root of right obturator nerve,l4 root of obturator nerve
condylomata acuminata,wart
scalenus medius branch of left fifth cervical nerve,scalenus medius branch of fifth cervical nerve
nucleus of origin of twelfth thoracic spinal nerve,nucleus of origin of thoracic spinal nerve
lateral root of right median nerve,lateral root of median nerve
gadopentetate dimeglumine,ionic linear gadolinium chelate
right dorsal acoustic stria,dorsal acoustic stria
postganglionic segment of posterior root of right sixth cervical spinal nerve,postganglionic segment of posterior root of sixth cervical spinal nerve
I-125 iothalamate,radiopharmaceutical
brodmann area 11 of right straight gyrus,brodmann area 11 of straight gyrus
gray matter of coccygeal segment of spinal cord,gray matter of subsegment of spinal cord
middle posterior division segment of C7 root of right thoracodorsal nerve,middle posterior division segment of C7 root of thoracodorsal nerve
double contour sign,imaging sign
subdivision of bony labyrinth,zone of petrous part of temporal bone
scrotal branch of ilioinguinal nerve,branch of ilioinguinal nerve
urine leak,leak
RID28965,RID28839
brodmann area 21 of right superior temporal gyrus,brodmann area 21 of superior temporal gyrus
vasculature of quadrate lobe of liver,vasculature of lobe of liver
tube potential,radiography procedure attribute
conjunctival branch of supratrochlear nerve,branch of supratrochlear nerve
adventitia of right ureter proper,adventitia of ureter proper
t6 segment of right dorsal funiculus of spinal cord,t6 segment of dorsal funiculus of spinal cord
segment of trunk of anterior division of anterior ramus of seventh cervical nerve,segment of trunk of division of anterior ramus of seventh cervical nerve
bone of pelvis,bone organ
thoracic subsegment of gracile fasciculus of spinal cord,segment of gracile fasciculus of spinal cord
gray communicating ramus of right eighth intercostal nerve,gray communicating ramus of eighth intercostal nerve
anterior surface of isthmus of uterus,anterior surface of zone of uterus
trunk of branch of right mandibular nerve to otic ganglion,trunk of branch of mandibular nerve to otic ganglion
otosclerosis,inflammation
cardiac branch of vagus nerve,branch of vagus nerve
brodmann area 9 of left cingulate gyrus,brodmann area 9 of cingulate gyrus
gray matter of L1 segment of spinal cord,gray matter of lumbar subsegment of spinal cord
left rotation position,patient rotation position
periumbilical part of abdomen,subdivision of abdomen
nerve to left fourth innermost intercostal muscle,nerve to fourth innermost intercostal muscle
anterior internal venous plexus,venous plexus
brodmann area 20 of segment of parahippocampal gyrus,segment of Brodmann area 20
gray matter of left anterior quadrangular lobule,gray matter of anterior quadrangular lobule
acromial part of right deltoid,acromial part of deltoid
transverse colon proper,zone of large intestine
deltoid tuberosity,zone of diaphysis
RID35705,Obsolete Radlex Term
proximal tendon of adductor brevis,tendon of adductor brevis
neural network of left cheek,neural network of cheek
intertubercular sheath of glenohumeral joint,investing fascia
left gastropancreatic fold,gastropancreatic fold
radiation of thalamus,radiation of neuraxis
tributary of basilic vein,tributary of axillary vein
syndesmophyte,spine degeneration
c6 root of left subclavian nerve,c6 root of subclavian nerve
trunk of superficial buccal branch of facial nerve to nasalis,trunk of superficial buccal branch of facial nerve
anterior pancreaticoduodenal lymphatic chain,abdominal lymphatic chain
right subscapularis,subscapularis muscle
RID6329,Obsolete Radlex Term
dura mater of anterior rootlet of right fifth sacral nerve,dura mater of anterior rootlet of fifth sacral nerve
masseter muscle,muscle of mastication
t9 segment of left dorsal thoracic nucleus,t9 segment of dorsal thoracic nucleus
musculoskeletal system,organ system
